
----------------------------------
Learning...
0: w1=1.000000, w2=1.000000, w3=1.000000
1: cost=2.538048, w1=0.950364, w2=0.867455, w3=0.900459
2: cost=2.241556, w1=0.900939, w2=0.735393, w3=0.801235
3: cost=1.949228, w1=0.851858, w2=0.604144, w3=0.702578
4: cost=1.664141, w1=0.803346, w2=0.474282, w3=0.604957
5: cost=1.391900, w1=0.755785, w2=0.346860, w3=0.509291
6: cost=1.142745, w1=0.709834, w2=0.223861, w3=0.417415
7: cost=0.934368, w1=0.666615, w2=0.109159, w3=0.332984
8: cost=0.790343, w1=0.627910, w2=0.010010, w3=0.262768
9: cost=0.720049, w1=0.595811, w2=-0.063423, w3=0.215931
10: cost=0.697047, w1=0.570852, w2=-0.106921, w3=0.196062
11: cost=0.689057, w1=0.550780, w2=-0.129366, w3=0.194992
12: cost=0.683860, w1=0.532960, w2=-0.142050, w3=0.202413
13: cost=0.679147, w1=0.516001, w2=-0.151008, w3=0.212818
14: cost=0.674590, w1=0.499368, w2=-0.158565, w3=0.224092
15: cost=0.670139, w1=0.482878, w2=-0.165527, w3=0.235510
16: cost=0.665780, w1=0.466470, w2=-0.172165, w3=0.246839
17: cost=0.661509, w1=0.450124, w2=-0.178574, w3=0.258004
18: cost=0.657320, w1=0.433835, w2=-0.184787, w3=0.268985
19: cost=0.653212, w1=0.417599, w2=-0.190821, w3=0.279779
20: cost=0.649180, w1=0.401417, w2=-0.196684, w3=0.290388
21: cost=0.645221, w1=0.385289, w2=-0.202383, w3=0.300817
22: cost=0.641334, w1=0.369214, w2=-0.207924, w3=0.311069
23: cost=0.637514, w1=0.353192, w2=-0.213311, w3=0.321151
24: cost=0.633760, w1=0.337225, w2=-0.218549, w3=0.331065
25: cost=0.630069, w1=0.321311, w2=-0.223644, w3=0.340818
26: cost=0.626440, w1=0.305450, w2=-0.228600, w3=0.350412
27: cost=0.622869, w1=0.289644, w2=-0.233420, w3=0.359852
28: cost=0.619355, w1=0.273891, w2=-0.238110, w3=0.369142
29: cost=0.615896, w1=0.258192, w2=-0.242672, w3=0.378286
30: cost=0.612490, w1=0.242547, w2=-0.247112, w3=0.387286
31: cost=0.609136, w1=0.226955, w2=-0.251433, w3=0.396148
32: cost=0.605832, w1=0.211417, w2=-0.255637, w3=0.404874
33: cost=0.602576, w1=0.195933, w2=-0.259729, w3=0.413468
34: cost=0.599367, w1=0.180502, w2=-0.263712, w3=0.421932
35: cost=0.596203, w1=0.165125, w2=-0.267589, w3=0.430270
36: cost=0.593083, w1=0.149801, w2=-0.271363, w3=0.438485
37: cost=0.590006, w1=0.134530, w2=-0.275037, w3=0.446579
38: cost=0.586971, w1=0.119313, w2=-0.278614, w3=0.454556
39: cost=0.583977, w1=0.104148, w2=-0.282096, w3=0.462418
40: cost=0.581021, w1=0.089037, w2=-0.285486, w3=0.470168
41: cost=0.578104, w1=0.073978, w2=-0.288787, w3=0.477808
42: cost=0.575225, w1=0.058971, w2=-0.292001, w3=0.485341
43: cost=0.572381, w1=0.044017, w2=-0.295130, w3=0.492768
44: cost=0.569573, w1=0.029116, w2=-0.298177, w3=0.500093
45: cost=0.566800, w1=0.014266, w2=-0.301144, w3=0.507318
46: cost=0.564060, w1=-0.000531, w2=-0.304033, w3=0.514445
47: cost=0.561353, w1=-0.015277, w2=-0.306845, w3=0.521475
48: cost=0.558678, w1=-0.029971, w2=-0.309584, w3=0.528411
49: cost=0.556035, w1=-0.044614, w2=-0.312250, w3=0.535255
50: cost=0.553422, w1=-0.059205, w2=-0.314846, w3=0.542008
51: cost=0.550838, w1=-0.073745, w2=-0.317373, w3=0.548673
52: cost=0.548284, w1=-0.088235, w2=-0.319834, w3=0.555252
53: cost=0.545759, w1=-0.102674, w2=-0.322229, w3=0.561745
54: cost=0.543262, w1=-0.117062, w2=-0.324561, w3=0.568156
55: cost=0.540791, w1=-0.131400, w2=-0.326830, w3=0.574484
56: cost=0.538348, w1=-0.145688, w2=-0.329040, w3=0.580733
57: cost=0.535931, w1=-0.159926, w2=-0.331190, w3=0.586904
58: cost=0.533539, w1=-0.174115, w2=-0.333282, w3=0.592997
59: cost=0.531173, w1=-0.188254, w2=-0.335319, w3=0.599015
60: cost=0.528831, w1=-0.202344, w2=-0.337300, w3=0.604960
61: cost=0.526514, w1=-0.216385, w2=-0.339228, w3=0.610831
62: cost=0.524220, w1=-0.230377, w2=-0.341103, w3=0.616632
63: cost=0.521949, w1=-0.244321, w2=-0.342927, w3=0.622362
64: cost=0.519701, w1=-0.258216, w2=-0.344702, w3=0.628025
65: cost=0.517476, w1=-0.272063, w2=-0.346427, w3=0.633619
66: cost=0.515272, w1=-0.285862, w2=-0.348105, w3=0.639148
67: cost=0.513090, w1=-0.299614, w2=-0.349736, w3=0.644612
68: cost=0.510929, w1=-0.313318, w2=-0.351321, w3=0.650012
69: cost=0.508789, w1=-0.326975, w2=-0.352862, w3=0.655349
70: cost=0.506669, w1=-0.340585, w2=-0.354360, w3=0.660625
71: cost=0.504570, w1=-0.354148, w2=-0.355815, w3=0.665841
72: cost=0.502490, w1=-0.367665, w2=-0.357228, w3=0.670997
73: cost=0.500429, w1=-0.381135, w2=-0.358600, w3=0.676095
74: cost=0.498388, w1=-0.394560, w2=-0.359933, w3=0.681135
75: cost=0.496365, w1=-0.407938, w2=-0.361226, w3=0.686120
76: cost=0.494360, w1=-0.421271, w2=-0.362482, w3=0.691049
77: cost=0.492374, w1=-0.434559, w2=-0.363700, w3=0.695923
78: cost=0.490406, w1=-0.447801, w2=-0.364881, w3=0.700744
79: cost=0.488455, w1=-0.460999, w2=-0.366027, w3=0.705513
80: cost=0.486521, w1=-0.474152, w2=-0.367138, w3=0.710230
81: cost=0.484605, w1=-0.487260, w2=-0.368214, w3=0.714896
82: cost=0.482705, w1=-0.500324, w2=-0.369257, w3=0.719512
83: cost=0.480821, w1=-0.513344, w2=-0.370268, w3=0.724078
84: cost=0.478954, w1=-0.526321, w2=-0.371246, w3=0.728597
85: cost=0.477103, w1=-0.539253, w2=-0.372192, w3=0.733068
86: cost=0.475268, w1=-0.552143, w2=-0.373108, w3=0.737491
