 -20: w=-2.000000, cost=120.000000
 -19: w=-1.900000, cost=114.075005
 -18: w=-1.800000, cost=108.299995
 -17: w=-1.700000, cost=102.675003
 -16: w=-1.600000, cost=97.199997
 -15: w=-1.500000, cost=91.875000
 -14: w=-1.400000, cost=86.699997
 -13: w=-1.300000, cost=81.674995
 -12: w=-1.200000, cost=76.800003
 -11: w=-1.100000, cost=72.074997
 -10: w=-1.000000, cost=67.500000
  -9: w=-0.900000, cost=63.075005
  -8: w=-0.800000, cost=58.799995
  -7: w=-0.700000, cost=54.675003
  -6: w=-0.600000, cost=50.699997
  -5: w=-0.500000, cost=46.875000
  -4: w=-0.400000, cost=43.200001
  -3: w=-0.300000, cost=39.674999
  -2: w=-0.200000, cost=36.299999
  -1: w=-0.100000, cost=33.074997
   0: w=0.000000, cost=30.000000
   1: w=0.100000, cost=27.074999
   2: w=0.200000, cost=24.299999
   3: w=0.300000, cost=21.674999
   4: w=0.400000, cost=19.200001
   5: w=0.500000, cost=16.875000
   6: w=0.600000, cost=14.699999
   7: w=0.700000, cost=12.674999
   8: w=0.800000, cost=10.800000
   9: w=0.900000, cost=9.075001
  10: w=1.000000, cost=7.500000
  11: w=1.100000, cost=6.074999
  12: w=1.200000, cost=4.799999
  13: w=1.300000, cost=3.675001
  14: w=1.400000, cost=2.700000
  15: w=1.500000, cost=1.875000
  16: w=1.600000, cost=1.200000
  17: w=1.700000, cost=0.675000
  18: w=1.800000, cost=0.300000
  19: w=1.900000, cost=0.075000
  20: w=2.000000, cost=0.000000
  21: w=2.100000, cost=0.075000
  22: w=2.200000, cost=0.300000
  23: w=2.300000, cost=0.675000
  24: w=2.400000, cost=1.200001
  25: w=2.500000, cost=1.875000
  26: w=2.600000, cost=2.699999
  27: w=2.700000, cost=3.675001
  28: w=2.800000, cost=4.799999
  29: w=2.900000, cost=6.075002
  30: w=3.000000, cost=7.500000
  31: w=3.100000, cost=9.074998
  32: w=3.200000, cost=10.800001
  33: w=3.300000, cost=12.674998
  34: w=3.400000, cost=14.700003
  35: w=3.500000, cost=16.875000
  36: w=3.600000, cost=19.199997
  37: w=3.700000, cost=21.675003
  38: w=3.800000, cost=24.299997
  39: w=3.900000, cost=27.075005
