
----------------------------------
Learning...
0: cost=33.120003, w1=2.200000, w2=3.400000
1: cost=9.201601, w1=1.360000, w2=2.440000
2: cost=3.067633, w1=1.108000, w2=1.864000
3: cost=1.082302, w1=1.032400, w2=1.518400
4: cost=0.387645, w1=1.009720, w2=1.311040
5: cost=0.139373, w1=1.002916, w2=1.186624
6: cost=0.050158, w1=1.000875, w2=1.111974
7: cost=0.018056, w1=1.000262, w2=1.067185
8: cost=0.006500, w1=1.000079, w2=1.040311
9: cost=0.002340, w1=1.000024, w2=1.024186
10: cost=0.000842, w1=1.000007, w2=1.014512
11: cost=0.000303, w1=1.000002, w2=1.008707
12: cost=0.000109, w1=1.000001, w2=1.005224
13: cost=0.000039, w1=1.000000, w2=1.003135
14: cost=0.000014, w1=1.000000, w2=1.001881
15: cost=0.000005, w1=1.000000, w2=1.001128
16: cost=0.000002, w1=1.000000, w2=1.000677
17: cost=0.000001, w1=1.000000, w2=1.000406
18: cost=0.000000, w1=1.000000, w2=1.000244
19: cost=0.000000, w1=1.000000, w2=1.000146
20: cost=0.000000, w1=1.000000, w2=1.000088
21: cost=0.000000, w1=1.000000, w2=1.000053
22: cost=0.000000, w1=1.000000, w2=1.000032
23: cost=0.000000, w1=1.000000, w2=1.000019
24: cost=0.000000, w1=1.000000, w2=1.000011
25: cost=0.000000, w1=1.000000, w2=1.000007
26: cost=0.000000, w1=1.000000, w2=1.000004
27: cost=0.000000, w1=1.000000, w2=1.000002
28: cost=0.000000, w1=1.000000, w2=1.000001
29: cost=0.000000, w1=1.000000, w2=1.000001
----------------------------------
Answer for 0.000000, 8.000000: 8.000007

----------------------------------
Learning...
0: cost=542.084473, w1=4.010000, w2=4.010000
1: cost=329.804199, w1=3.237800, w2=3.237800
2: cost=200.652878, w1=2.635484, w2=2.635484
3: cost=122.077194, w1=2.165678, w2=2.165678
4: cost=74.271759, w1=1.799228, w2=1.799228
5: cost=45.186939, w1=1.513398, w2=1.513398
6: cost=27.491734, w1=1.290451, w2=1.290451
7: cost=16.725967, w1=1.116551, w2=1.116551
8: cost=10.176079, w1=0.980910, w2=0.980910
9: cost=6.191125, w1=0.875110, w2=0.875110
10: cost=3.766680, w1=0.792586, w2=0.792586
11: cost=2.291648, w1=0.728217, w2=0.728217
12: cost=1.394239, w1=0.678009, w2=0.678009
13: cost=0.848255, w1=0.638847, w2=0.638847
14: cost=0.516078, w1=0.608301, w2=0.608301
15: cost=0.313982, w1=0.584475, w2=0.584475
16: cost=0.191026, w1=0.565890, w2=0.565890
17: cost=0.116220, w1=0.551394, w2=0.551394
18: cost=0.070708, w1=0.540088, w2=0.540088
19: cost=0.043019, w1=0.531268, w2=0.531268
20: cost=0.026173, w1=0.524389, w2=0.524389
21: cost=0.015923, w1=0.519024, w2=0.519024
22: cost=0.009688, w1=0.514838, w2=0.514838
23: cost=0.005894, w1=0.511574, w2=0.511574
24: cost=0.003586, w1=0.509028, w2=0.509028
25: cost=0.002182, w1=0.507042, w2=0.507042
26: cost=0.001327, w1=0.505492, w2=0.505492
27: cost=0.000808, w1=0.504284, w2=0.504284
28: cost=0.000491, w1=0.503342, w2=0.503342
29: cost=0.000299, w1=0.502606, w2=0.502606
30: cost=0.000182, w1=0.502033, w2=0.502033
31: cost=0.000111, w1=0.501586, w2=0.501586
32: cost=0.000067, w1=0.501237, w2=0.501237
33: cost=0.000041, w1=0.500965, w2=0.500965
34: cost=0.000025, w1=0.500753, w2=0.500753
35: cost=0.000015, w1=0.500587, w2=0.500587
36: cost=0.000009, w1=0.500458, w2=0.500458
37: cost=0.000006, w1=0.500357, w2=0.500357
38: cost=0.000003, w1=0.500279, w2=0.500279
39: cost=0.000002, w1=0.500217, w2=0.500217
40: cost=0.000001, w1=0.500169, w2=0.500169
41: cost=0.000001, w1=0.500132, w2=0.500132
42: cost=0.000000, w1=0.500103, w2=0.500103
43: cost=0.000000, w1=0.500080, w2=0.500080
44: cost=0.000000, w1=0.500063, w2=0.500063
45: cost=0.000000, w1=0.500049, w2=0.500049
46: cost=0.000000, w1=0.500038, w2=0.500038
47: cost=0.000000, w1=0.500030, w2=0.500030
48: cost=0.000000, w1=0.500023, w2=0.500023
49: cost=0.000000, w1=0.500018, w2=0.500018
50: cost=0.000000, w1=0.500014, w2=0.500014
51: cost=0.000000, w1=0.500011, w2=0.500011
52: cost=0.000000, w1=0.500009, w2=0.500009
53: cost=0.000000, w1=0.500007, w2=0.500007
54: cost=0.000000, w1=0.500005, w2=0.500005
55: cost=0.000000, w1=0.500004, w2=0.500004
56: cost=0.000000, w1=0.500003, w2=0.500003
57: cost=0.000000, w1=0.500002, w2=0.500002
58: cost=0.000000, w1=0.500002, w2=0.500002
59: cost=0.000000, w1=0.500001, w2=0.500001
----------------------------------
Answer for 8.000000, 8.000000: 8.000024

----------------------------------
Learning...
0: cost=0.717085, w1=0.455001, w2=0.410001
1: cost=0.311644, w1=0.432951, w2=0.363200
2: cost=0.203748, w1=0.422686, w2=0.338594
3: cost=0.174377, w1=0.418472, w2=0.325391
4: cost=0.165736, w1=0.417362, w2=0.318048
5: cost=0.162571, w1=0.417842, w2=0.313717
6: cost=0.160857, w1=0.419136, w2=0.310936
7: cost=0.159534, w1=0.420844, w2=0.308953
8: cost=0.158319, w1=0.422760, w2=0.307382
9: cost=0.157140, w1=0.424780, w2=0.306025
10: cost=0.155976, w1=0.426850, w2=0.304779
11: cost=0.154823, w1=0.428940, w2=0.303593
12: cost=0.153679, w1=0.431038, w2=0.302440
13: cost=0.152543, w1=0.433136, w2=0.301305
14: cost=0.151416, w1=0.435230, w2=0.300182
15: cost=0.150297, w1=0.437318, w2=0.299067
16: cost=0.149187, w1=0.439400, w2=0.297958
17: cost=0.148084, w1=0.441474, w2=0.296854
18: cost=0.146990, w1=0.443541, w2=0.295754
19: cost=0.145904, w1=0.445601, w2=0.294659
20: cost=0.144826, w1=0.447653, w2=0.293569
21: cost=0.143756, w1=0.449697, w2=0.292482
22: cost=0.142693, w1=0.451734, w2=0.291399
23: cost=0.141639, w1=0.453764, w2=0.290321
24: cost=0.140592, w1=0.455786, w2=0.289246
25: cost=0.139554, w1=0.457800, w2=0.288175
26: cost=0.138522, w1=0.459807, w2=0.287109
27: cost=0.137499, w1=0.461806, w2=0.286046
28: cost=0.136483, w1=0.463798, w2=0.284987
29: cost=0.135474, w1=0.465783, w2=0.283932
30: cost=0.134473, w1=0.467760, w2=0.282882
31: cost=0.133480, w1=0.469730, w2=0.281834
32: cost=0.132493, w1=0.471693, w2=0.280791
33: cost=0.131514, w1=0.473649, w2=0.279752
