
----------------------------------
Learning...
0: cost=33.120003, w1=2.200000, w2=3.400000
1: cost=9.201601, w1=1.360000, w2=2.440000
2: cost=3.067633, w1=1.108000, w2=1.864000
3: cost=1.082302, w1=1.032400, w2=1.518400
4: cost=0.387645, w1=1.009720, w2=1.311040
5: cost=0.139373, w1=1.002916, w2=1.186624
6: cost=0.050158, w1=1.000875, w2=1.111974
7: cost=0.018056, w1=1.000262, w2=1.067185
8: cost=0.006500, w1=1.000079, w2=1.040311
9: cost=0.002340, w1=1.000024, w2=1.024186
10: cost=0.000842, w1=1.000007, w2=1.014512
11: cost=0.000303, w1=1.000002, w2=1.008707
12: cost=0.000109, w1=1.000001, w2=1.005224
13: cost=0.000039, w1=1.000000, w2=1.003135
14: cost=0.000014, w1=1.000000, w2=1.001881
15: cost=0.000005, w1=1.000000, w2=1.001128
16: cost=0.000002, w1=1.000000, w2=1.000677
17: cost=0.000001, w1=1.000000, w2=1.000406
18: cost=0.000000, w1=1.000000, w2=1.000244
19: cost=0.000000, w1=1.000000, w2=1.000146
20: cost=0.000000, w1=1.000000, w2=1.000088
21: cost=0.000000, w1=1.000000, w2=1.000053
22: cost=0.000000, w1=1.000000, w2=1.000032
23: cost=0.000000, w1=1.000000, w2=1.000019
24: cost=0.000000, w1=1.000000, w2=1.000011
25: cost=0.000000, w1=1.000000, w2=1.000007
26: cost=0.000000, w1=1.000000, w2=1.000004
27: cost=0.000000, w1=1.000000, w2=1.000002
28: cost=0.000000, w1=1.000000, w2=1.000001
29: cost=0.000000, w1=1.000000, w2=1.000001
30: cost=0.000000, w1=1.000000, w2=1.000000
31: cost=0.000000, w1=1.000000, w2=1.000000
32: cost=0.000000, w1=1.000000, w2=1.000000
33: cost=0.000000, w1=1.000000, w2=1.000000
34: cost=0.000000, w1=1.000000, w2=1.000000
35: cost=0.000000, w1=1.000000, w2=1.000000
36: cost=0.000000, w1=1.000000, w2=1.000000
37: cost=0.000000, w1=1.000000, w2=1.000000
38: cost=0.000000, w1=1.000000, w2=1.000000
39: cost=0.000000, w1=1.000000, w2=1.000000
----------------------------------
Answer for 0.000000, 8.000000: 8.000001
